,SPEAKER,SENTENCE,개체명,지식베이스,intent_cat
0,고객,リュガバンガヨンジョムですよね？ 三個または四個を先に作って、お電話をお待ちしてもよろしいでしょうか？,"Ryugabongayonggokjeom, 세 개, 네 개, 미리, 전화","リュガバンガヨンジョム|상호, 三|수량, 四|수량",예약_문의
0,고객,イクサンヒルズコテウですよね？5人程度の予約はいつすればよいですか？,"IksanHillsKoteu, 5명, 예약","イクサンヒルズコテウ|상호, 5人|인원",예약_문의
0,고객,ナトゥールスソヨクサジョムですよね？ この部屋は存在しますか？ 予約をしたいです',"NatuurSuseoyeoksajeom, 룸, 예약","ナトゥールスソヨクサジョム|상호, 部屋|장소",예약_문의
0,고객,エルキュルヒオシャップですよね？ 約10人前を注文してもよろしいですか？,"Elkeuruheeosyap, 10인분, 주문","エルキュルヒオシャップ|상호, 約10人前|수량",예약_문의
0,고객,ガンナクゴンヨンダトケオムですよね？ 普通のキンパプをお願いします。山でのピクニックの注文はいつすれば良いですか？,"Gungnakgongyeondatkeom, 일반 김밥, 산, 주문","ガンナクゴンヨンダトケオム|상호, 普通のキンパプ|메뉴",예약_문의
0,고객,オコンですよね？ 今週の土曜日に予約しようとしています,"Okong, 이번 주, 토요일, 예약","オコン|상호, 今週の土曜日|예약일, 土曜日|예약일",예약_문의
0,고객,カフェルニオンですよね？ 今日は5人が予約されていますか?,"cafeReunion, 오늘, 5명, 예약","カフェルニオン|상호, 今日|예약일",예약_문의
0,고객,ウマイエペウアエンビですよね？ 今週金曜日に予約したいのですが、可能ですか?,"UmaiEpeuaenbi, 이번주 금요일, 예약, 가능","ウマイエペウアエンビ|상호, 今週|예약일, 金曜日|예약일",예약_문의
0,고객,イツマシンヌンサエンミョンクスですよね？ 明日午後2時に予約をします,"MasinneunSaengmyeonGuksu, 내일, 오후 2시, 예약","イツマシンヌンサエンミョンクス|상호, 明日|예약일, 午後2時|예약시간",예약_문의
0,고객,サンチョンダンですよね？ 明日の予約は可能ですか?,"Suncheongdan, 내일, 예약","サンチョンダン|상호, 明日|예약일",예약_문의
0,고객,バンジュヨンビューティーですよね？ 今日予約を入れてもいいですか?,"BanjuyeonBeauty, 오늘, 예약","バンジュヨンビューティー|상호, 今日|예약일",예약_문의
0,고객,ソミネキンバプですよね？ 2月14日の12時に可能ですか?,"SomineGimbap, 2월 14일, 오후 12:00","ソミネキンバプ|상호, 2月14日|예약일, 12時|예약시간",예약_문의
0,고객,ソンジェシンバルですよね？ 午後の正午にご飯の準備をしてください,"Seonjaesinbal, 12시, 식사, 준비","ソンジェシンバル|상호, 正午|예약시간",예약_문의
0,고객,ソルテュエンバターですよね？ 明日の夕方６時にディナーの予約を取れますか？,"SsolteuaenButter, 내일, 저녁 여섯시, 예약","ソルテュエンバター|상호, 明日|예약일, ６時|예약시간",예약_문의
0,고객,ムハンハンパン119ですよね？ 今日は16席を予約してもいいですか？,"MuhanHanpan119, 16명, 예약","ムハンハンパン119|상호, 16席|인원",예약_문의
0,고객,デオラストドゥロプですよね？  午後7時に予約してもよろしいですか?,"DeoLastDeurop, 오후 7시, 예약","デオラストドゥロプ|상호, 午後7時|예약시간",예약_문의
0,고객,フライドチャムチャルハヌンジプですよね？ 明日の夕方に予約をしようとしています,"FriedChamchalhaneunjip, 내일, 저녁, 예약","フライドチャムチャルハヌンジプ|상호, 明日|예약일, 夕方|예약시간",예약_문의
0,고객,ジャンミギョンコースメティクですよね？ 19時にできますか?,"JangmigyeongCourseMetik, 저녁 7시, 가능","ジャンミギョンコースメティク|상호, 19時|예약시간",예약_문의
0,고객,文食商会ですよね？ 十人様の予約をしたいです。',"Bunsiksanghoe, 10명, 단체 예약","文食商会|상호, 十人|인원",예약_문의
0,고객,フワシンハンシクビュッフェですよね？ 来週の金曜日のディナータイムに行く予定ですが、大丈夫ですか？,"HwasinHansikBuffet, 다음 주 금요일, 디너타임","フワシンハンシクビュッフェ|상호, 来週の金曜日|예약일, ディナータイム|예약시간",예약_문의
0,고객,アランガージュですよね？ 以前予約された#name#です,"Arangaju, 예약, #이름#","アランガージュ|상호, #이름#|예약자",예약_문의
0,고객,アチムヘッタリャグクですよね？ 年末の集まりの予約をしたいです,"Achimhaetsallyakguk, 연말, 모임, 예약","アチムヘッタリャグク|상호, 年末|시즌",예약_문의
0,고객,シナンバプサンハンシクビュッフェですよね？ 来週の金曜日の予約をお願いします,"SinanBapsangHansikBuffet, 다음 주 금요일, 예약","シナンバプサンハンシクビュッフェ|상호, 来週の金曜日|예약일",예약_문의
0,고객,ギャンットゥクですよね？ 今晩のディナーの予約は可能ですか？,"Gangttuk, 오늘 저녁, 예약, 가능","ギャンットゥク|상호, 今晩|예약일",예약_문의
0,고객,チョヒャンゴルですよね？ 7時に予約してもいいですか?,"Chohyanggol, 저녁 7시, 예약, 가능","チョヒャンゴル|상호, 7時|예약시간",예약_문의
0,고객,デボホエッジプですよね？ 今週の土曜日に10部屋を予約できますか?,"Daebohoetjip, 이번 주 토요일, 10명, 룸, 예약, 가능","デボホエッジプ|상호, 今週の土曜日|예약일, 10|인원, 部屋|장소",예약_문의
0,고객,ジョンイガネアグですよね？ 7時に予約をすることは可能ですか?,"JeongiganeAgu, 7시, 예약","ジョンイガネアグ|상호, 7時|예약시간",예약_문의
0,고객,イギリョンヒオシャプですよね？ 17日の午後6時に予約をお願いします。,"Igiryeongheeosyap, 17일, 저녁 6시, 예약","イギリョンヒオシャプ|상호, 17日|예약일, 午後6時|예약시간",예약_문의
0,고객,ユハンホエサジディホールディングスですよね？ 4人のパーティーで、メニューの事前注文が必要ですか?,"Yuhanhoesajeidiholdingseu, 4명, 메뉴, 주문","ユハンホエサジディホールディングス|상호, 4人|인원",예약_문의
0,고객,イートイワゴプチャンですよね？ 日曜日の12時に4人で予約可能ですか?,"EohwaGopchang, 이번 주 일요일, 12시, 4명, 예약, 가능","イートイワゴプチャン|상호, 日曜日|예약일, 12時|예약시간, 4人|인원",예약_문의
0,고객,アリムソクソエですよね？ 日曜日の正午に4人用に空いていますか?,"Arimseoksoe, 이번 주 일요일, 12시, 4명, 예약, 가능","アリムソクソエ|상호, 日曜日|예약일, 正午|예약시간, 4人|인원",예약_문의
0,고객,ジェジュインファッジンパンですよね？ 今週の日曜日の午後は予約可能ですか？,"JejuinhwaJjinbbang, 이번 주 일요일, 오후, 예약, 가능","ジェジュインファッジンパン|상호, 今週の日曜日|예약일, 午後|예약시간",예약_문의
0,고객,ネガチャトゥドンダックガンジョンですよね？ 午後1時の予約をします。,"NaegachatdeondakGangjeong, 오후 1시, 예약","ネガチャトゥドンダックガンジョン|상호, 午後1時|예약시간",예약_문의
0,고객,ジョジョキッチンですよね？ 15日に予約してもよろしいでしょうか?,"JojoKITCHEN, 15일, 예약","ジョジョキッチン|상호, 15日|예약일",예약_문의
0,고객,チョガジピヤンニョムチキンですよね？ 明日の7時に予約可能ですか?,"cheogajipyangnyeomchicken, 내일, 7시, 예약, 가능","チョガジピヤンニョムチキン|상호, 明日|예약일, 7時|예약시간",예약_문의
0,고객,ユンシェフですよね？ 5月27日の4時に予約してもいいですか?,"YoonChef, 5월 27일, 4시, 예약","ユンシェフ|상호, 5月27日|예약일, 4時|예약시간",예약_문의
0,고객,シンシンホエッジックゴレスサンですか？ 2月28日に予約をしたいです,"Singsinghoejikgeoraesusan, 2월 28일, 예약","シンシンホエッジックゴレスサン|상호, 2月28日|예약일",예약_문의
0,고객,ニルトゥエ君ですよね？ 5時に3人で予約お願いします。,"Neilttyu, 5시, 3명, 예약","ニルトゥエ|상호, 5時|시간, 3人|인원",예약_문의
0,고객,マッケゴリラングクスですよね？ 7時に予約可能ですか？,"MakgeolliRangGuksu, 7시, 예약, 자리","マッケゴリラングクス|상호, 7|예약시간",예약_문의
0,고객,"초연소주방입니다, 맞죠? 지금 4명 앉을 자리 있나요?","Choyeonsojubang, 4명, 예약, 자리","초연소주방|상호, 4명|인원",예약_문의
0,고객,ピメソテティクですね？ 今日の昼食の予約を入れてもいいですか?,"Pimeseutetik, 점심, 예약, 가능","ピメソテティク|상호, 昼食|시간",예약_문의
0,고객,ガチャシャップミラクジョムですよね？ 今日17時に予約をしました,"GachyasyapMillakjeom, 오늘, 5시, 예약","ガチャシャップミラクジョム|상호, 今日|날짜, 17時|예약시간",예약_문의
0,고객,デニエオルデオカフェですよね？ 来週の週末の予約を入れることはできますか？,"DaenieoldeoCafe, 다음 주 주말, 예약, 가능","デニエオルデオカフェ|상호, 来週の週末|예약일",예약_문의
0,고객,チョコパイですよね？ それでは来週の日曜日に作りましょう,"ChocoPai, 다음 주 일요일","チョコパイ|상호, 来週の日曜日|예약일",예약_문의
0,고객,ソンドアエブンシクですよね？ 当日、予約日を変更できますか?,"Songdoaebunsik, 예약, 명수, 당일, 바꿔","ソンドアエブンシク|상호, 当日|예약일",예약_문의
0,고객,システリアウトレット倶利伊家ですよね？ 今週の土曜日に予約を入れることができますか?,"SiseulliOutletGurijeom, 이번 주 토요일, 예약, 가능","システリアウトレット倶利伊家|상호, 今週の土曜日|예약일",예약_문의
0,고객,ART.Cですよね？ 明日の予約をお願いしてもよろしいですか?,"ART.C, 내일, 예약, 가능","ART.C|상호, 明日|날짜",예약_문의
0,고객,オンスタンカフェですよね？ 明後日のランチの予約をお願いします,"OnsutangCafe, 모레, 점심, 예약","オンスタンカフェ|상호, 明後日|날짜, ランチ|시간",예약_문의
0,고객,カフェグッテアゲッテですよね？ 週末にグループ予約は可能ですか？,"CafeGutteuAguTteu, 주말, 단체, 예약, 가능","カフェグッテアゲッテ|상호, 週末|예약일, グループ|인원",예약_문의
0,고객,オリマッグクスですよね？ 土曜日の夕方に予約を入れたいのですが可能でしょうか?,"OllemakGuksu, 토요일, 저녁, 예약","オリマッククス|상호, 土曜日|예약일, 夕方|시간",예약_문의
0,고객,タヘヤンッコチですよね？ 今週の土曜日に予約をしたいのですが。,"Taehayangkkochi, 이번 주 토요일, 예약","タヘヤンッコチ|상호, 今週の土曜日|예약일",예약_문의
0,고객,シンチョンヤンッコチですよね？ 土曜日の午後7時は大丈夫ですか?,"SincheonYangkkochi, 토요일, 저녁 7시, 가능","シンチョンヤンッコチ|상호, 土曜日|예약일, 午後7時|예약시간",예약_문의
0,고객,チルボクダックガンジョンですよね？ 金曜日の夜は予約可能ですか？,"ChilbokdakGangjeong, 금요일, 저녁시간, 예약, 가능","チルボクダックガンジョン|상호, 金曜日|예약일, 夜|예약시간",예약_문의
0,고객,"アイスクールですよね？ 今予約できますか？"", ","icecool, 지금, 예약, 가능","アイスクール|상호, 今|시간",예약_문의
0,고객,ウォレネジュマックですよね？ その時、5時に予約をします,"Wollaenejumak, 저희, 5시, 예약","ウォレネジュマック|상호, 5時|예약시간",예약_문의
0,고객,ハッピーパイギャラリーですよね？ 12時に3人の予約をしたいです。,"HappyPaiGallery, 12시, 3명, 예약","ハッピー・パイ・ギャラリー|상호, 12時|예약시간, 3人|인원",예약_문의
0,고객,デーボックキンですよね？ 今日は5人で予約してもいいですか？',"DaeBoxKin, 오늘, 5명, 예약, 가능","デーボックキン|상호, 今日|예약일, 5人|인원",예약_문의
0,고객,クラブパーティーゴールドですよね？ 五時にできますか?,"CrabPartyGold, 5시, 가능","クラブパーティーゴールド|상호, 五時|예약시간",예약_문의
0,고객,ラベンダーミルクですよね？ 明日の午後8時に予約することは可能ですか？,"LavenderMilk, 내일, 오후 8시, 예약, 가능","ラベンダーミルク|상호, 明日|예약일, 午後8時|예약시간",예약_문의
0,고객,グンゲウムヘヨⅱですよね？ 明日、19時に都合がいいですか?,"Gunggeumhaeyoⅱ, 내일, 저녁 7시","グンゲウムヘヨⅱ|상호, 明日|예약일, 19時|예약시간",예약_문의
0,고객,ダボニールですよね？ その時に8人分の予約をお願いします,"Daboneil, 8명, 예약","ダボニール|상호, 8人|인원",예약_문의
0,고객,ドリームビールですね？ 明日の夕方7時に10人分の予約をお願いします。,"DreamBeer, 내일 저녁 7시 10명 예약","ドリームビール|상호, 明日|예약일, 夕方7時|예약시간, 10人|인원",예약_문의
0,고객,モドゥイシクダンですよね？ 今夜のディナーの予約を2人でお願いしてもいいですか?,"Moduuisikdang, 오늘 저녁 2명 예약","モドゥイシクダン|상호, 今夜|예약일, ディナー|예약시간, 2人|인원",예약_문의
0,고객,オピースディポボリョンジョムですよね？ 26日の午後2時に予約をお願いします,"OPieceDipoBoryeongjeom, 26일 오후 2시 예약","オピースディポボリョンジョム|상호, 26日|예약일, 午後2時|예약시간",예약_문의
0,고객,メイクサムコーヒーですよね？ お部屋はありますか？,"MAKESOMECOFFEE, 방","メイクサムコーヒー|상호, お部屋|장소",예약_문의
0,고객,プルムウォンフードアンケルチョエイプロジェンビオロジクス、ですよね？ 窓際の席はありますか？,"PulmuwonFoodAenkeolcheoEipeurojenBioRojikseu, 창가 쪽, 자리","プルムウォンフードアンケルチョエイプロジェンビオロジクス|상호, 窓際|위치",예약_문의
0,고객,ヒャンウォンボックチップですよね？ インサイドシートに座ってもよろしいですか?,"Hyangwonbokjip, 안쪽, 자리","ヒャンウォンボックチップ|상호, インサイド|위치",예약_문의
0,고객,デオクンシクタクですよね？ 一人でここに来て、ここに座りたいです',"Deokeunsiktak, 혼자, 여기","デオクンシクタク|상호, 一人|인원",예약_문의
0,고객,ビートクラブですよね？ わたしたちは3人です。静かな場所はありますか?,"BeatClub, 세 명, 어디, 자리","ビートクラブ|상호, 3人|인원",예약_문의
0,고객,1001案内コンタクトダングラのでしょうか？ 窓側の席はありませんか?,"1001AngyeongkontaekteuDanggamjeom, 창가 쪽, 자리","1001案内コンタクトダングラ|상호, 窓側|위치",예약_문의
0,고객,"꽃송이미용실, 맞죠? 창가에 앉을 수 있을까요?'","Kkotsongimiyongsil, 창가 자리","꽃송이미용실|상호, 창가에 앉을 수 있을까요|위치",예약_문의
0,고객,ダジャルヒョーシャップですよね？ ダイニング用に窓際のテーブルをお願いできますか?,"DajalHeeosyap, 창가","ダジャルヒョーシャップ|상호, 窓|장소",예약_문의
0,고객,ハッピーオールハウスですよね？ 可能な限り窓際の席に座らせてください,"HappyAulHouse, 창가석, 배치","ハッピーオールハウス|상호, 窓際の席|자리",예약_문의
0,고객,ションベクトウェジッグッパプですか？ テーブルは窓際に座ってもいいですか？,"SeaneHansikBuffet, 창가쪽, 자리, 부탁","ションベクトウェジッグッパプ|상호, 窓|장소",예약_문의
0,고객,ダダジェグワジョウムですよね？ 静かに食事ができる部屋があれば、その部屋に案内してくださいますか?,"Dadajegwajeom, 식사, 방 자리","ダダジェグワジョウム|상호, 部屋|장소",예약_문의
0,고객,イツ キョルジュククミ ですよね？ 窓際の席まで案内してください,"YeolJjukkumi, 창가 쪽, 안내","キョルジュククミ|상호, 窓際の|장소",예약_문의
0,고객,ゴルドンシルキワクシングですよね？ 窓側に座りたいです,"GuwoldongSilkiwaksing, 창가","ゴルドンシルキワクシング|상호, 窓|장소",예약_문의
0,고객,イジョボダオヌルですよね？ 窓際の静かな席をお願いします,"Eojebodaoneul, 창가 쪽, 조용한 자리","イジョボダオヌル|상호, 窓際の|장소",예약_문의
0,고객,グクワホグマンですよね？ 7人様、良い席を予約してください,"Gukwahoegwan, 7명 전망 자리","グクワホグマン|상호, 7人|인원",예약_문의
0,고객,CAFE316ですよね？ KakaoPayは利用可能ですか？,"CAFE316, 카카오페이","CAFE316|상호, KakaoPay|결제방식",결제_방식문의
0,고객,カフェ106ですよね？ カカオペイは利用可能ですか？,"cafe106, 카카오페이","カフェ106|상호, カカオペイ|결제방식",결제_방식문의
0,고객,オシコシロッテ百貨店グリーン店ですよね？ カカオペイはご利用いただけますか？,"OsikosiLotteBaekhwajeomgurijeom, 카카오페이","オシコシロッテ百貨店グリーン店|상호, カカオペイ|결제방식",결제_방식문의
0,고객,イチュダエジャンミジャンウォンですよね？ KakaoPayは機能していますか？,"Icheudaejeonmijangwon, 카카오결제","イチュダエジャンミジャンウォン|상호, KakaoPay|결제종류",결제_방식문의
0,고객,トリベオチヒュンダイ百波齊店牧洞店ですよね？ カカオペイは使えますか？,"ToribeochiHyundaiBaekhwajeomMokdongjeom, 카카오결제","トリベオチヒュンダイ百波齊店牧洞店|상호, カカオペイ|결제종류",결제_방식문의
0,고객,サンナミュトンですよね？ カカオペイは使えますか？,"Sangnamyutong, 카카오결제","サンナミュトン|상호, カカオペイ|결제종류",결제_방식문의
0,고객,デオキバプスですよね？ カカオペイも使えますか?,"Deokibapseu, 카카오페이","デオキバプス|상호, カカオペイ|결제종류",결제_방식문의
0,고객,ハクソングリーンフードですよね？ カカオペイは利用可能ですか?,"HakseongGreenFood, 카카오페이","ハクソングリーンフード|상호, カカオペイ|결제종류",결제_방식문의
0,고객,カフェムエンですよね？ カカオペイも利用できますか?,"CafeMuen, 카카오페이","カフェムエン|상호, カカオペイ|결제종류",결제_방식문의
0,고객,ポユルスチュディオですよね？ ここでもカカオペイで支払いできますか?,"PoyulStewDio, 카카오페이, 결제","ポユルスチュディオ|상호, カカオペイ|결제종류",결제_방식문의
0,고객,ナルマダジャンチですよね？私もここでカカオペイで支払うことができますか？,"NalmadaJanchi, 카카오페이, 결제","ナルマダジャンチ|상호, カカオペイ|결제종류",결제_방식문의
0,고객,クムクヌンダルゴンバンですよね？ カカオペイで支払いできますか？,"Kkumkkuneundalgongbang, 카카오페이, 결제","クムクヌンダルゴンバン|상호, カカオペイ|결제종류",결제_방식문의
0,고객,アイバエクチプですよね？ カカオペイを使えますか？,"Ibaekjip, 카카오페이","アイバエクチプ|상호, カカオペイ|결제종류",결제_방식문의
0,고객,ジェジョルフードですよね？ カカオペイを使用できますか?,"JejuolleFood, 카카오페이","ジェジョルフード|상호, カカオペイ|결제종류",결제_방식문의
0,고객,ギムソンスジパンソですよね？ カカオペイを使ってもいいですか?,"GimseongSujePpangso, 카카오페이","ギムソンスジパンソ|상호, カカオペイ|결제종류",결제_방식문의
0,고객,アサレルセーブゾーンウォンジョムですよね？ こちらでKakaoPayを受け付けていますか？,"AsarelSavezoneNowonjeom, 여기, 카카오페이","アサレルセーブゾーンウォンジョム|상호, KakaoPay|결제종류",결제_방식문의
0,고객,カフェイリオですよね？ ここでかかオペイは使えますか？,"CafeIlloio, 여기, 카카오페이","カフェイリオ|상호, かかオペイ|결제종류",결제_방식문의
0,고객,ベシナエイルホレストランですよね？ ここでKakaoPayを利用できますか？,"BaesinaeIlhoSikdang, 여기, 카카오페이","ベシナエイルホレストラン|상호, KakaoPay|결제종류",결제_방식문의
0,고객,チャカンテッポッキですよね？ まだカカオペイで支払っていませんか？,"ChakanTteokbokki, 카카오페이, 결제","チャカンテッポッキ|상호, カカオペイ|결제종류",결제_방식문의
0,고객,モモコーヒーショップですよね？ まだカカオペイで支払いをしていないですか？,"MomoCoffeeSyop, 카카오페이, 결제","モモコーヒーショップ|상호, カカオペイ|결제종류",결제_방식문의
0,고객,ウォンウどんですよね？ まだカカオペイで支払いをしていないですか?,"WonUdon, 카카오페이, 결제","ウォンウどん|상호, カカオペイ|결제종류",결제_방식문의
0,고객,サムソンフードアンビですよね？ カカオペイを利用されますか？,"SamseongFoodAenbi, 카카오페이","サムソンフードアンビ|상호, カカオペイ|결제방식",결제_방식문의
0,고객,ギョメンヒーオディジャインですよね？ カカオペイを受け付けていますか?,"Gyemyeongheeodijain, 카카오페이","ギョメンヒーオディジャイン|상호, カカオペイ|결제방식",결제_방식문의
0,고객,アウォルムですよね？ カカオペイは受け付けていますか？,"Aworum, 카카오페이","アウォルム|상호, カカオペイ|결제방식",결제_방식문의
0,고객,ガンヒョンジョンヒョウサップですよね？ カカオペイやサムスンペイを使えませんか？,"GanghyeonjeongHeeosyap, 카카오페이, 삼성페이","ガンヒョンジョンヒョウサップ|상호, カカオペイ|결제방식, サムスンペイ|결제방식",결제_방식문의
0,고객,CHOIJAEYOUNGOrientalMedicalClinicですよね？ KakaoPayやSamsung Payを使用できないのですか？,"CHOIJAEYOUNGOrientalMedicalClinic, 카카오페이, 삼성페이","CHOIJAEYOUNGOrientalMedicalClinic|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
0,고객,"アップルヒート, カカオペイやサムスンペイを使用できませんか？', ","AppleHeeoateu, 카카오페이, 삼성페이","アップルヒート|상호, カカオペイ|결제방식, サムスンペイ|결제방식",결제_방식문의
0,고객,シダエポカですよね？ カカオペイで支払いできますか?,"Sidaepocha, 카카오페이, 결제","シダエポカ|상호, カカオペイ|결제방식",결제_방식문의
0,고객,BAROITHOUSEですよね？ KakaoPayで支払いできますか?,"BAROITHOUSE, 카카오페이, 결제","BAROITHOUSE|상호, KakaoPay|결제방식",결제_방식문의
0,고객,ロディーオですよね？ カカオペイを利用できないんですか?,"Rodieo, 카카오페이","ロディーオ|상호, カカオペイ|결제방식",결제_방식문의
0,고객,サロンプルピマゴンニョクジョムですよね？ カカオペイを使えるんですか？,"SallongPeuripiMagongnyeokjeom, 카카오페이","サロンプルピマゴンニョクジョム|상호, カカオペイ|결제방식",결제_방식문의
0,고객,ジョソングンピブシャップですよね？ カカオペイを使用できませんか?,"Joseongeunpibusyap, 카카오페이","ジョソングンピブシャップ|상호, カカオペイ|결제방식",결제_방식문의
0,고객,クウジュでしょうか？ ここでKakaoPayを受け付けているんですか？,"Kwojeu, 여기, 카카오페이, 결제","クウジュ|상호, KakaoPay|결제방식",결제_방식문의
0,고객,セルコプですよね？ ここでカカオペイを利用できますか?,"Saelkeop, 여기, 카카오페이, 결제","セルコプ|상호, カカオペイ|결제방식",결제_방식문의
0,고객,トクトクタンホルですよね？ ここでかかおペイを受け付けていますか?,"ToktokTanghuru, 여기, 카카오페이, 결제","トクトクタンホル|상호, かかおペイ|결제방식",결제_방식문의
0,고객,ヒーオゴルビーですよね？ KakaoPayで支払いしますか、またはOnnuriギフト券を受け取りますか？,"HeeogeuRuby, 여기, 카카오페이, 온누리상품권","ヒーオゴルビー|상호, KakaoPay|결제방식, Onnuriギフト券|상품권",결제_방식문의
0,고객,ジェス25スソンファンジョムですよね？ KakaoPayで支払いしますか、それともオンヌリギフト券を受け取りますか？,"Jieseu25Suseonghwanggeumjeom, 여기, 카카오페이, 온누리상품권","ジェス25スソンファンジョム|상호, KakaoPay|결제방식, オンヌリギフト券|상품권",결제_방식문의
0,고객,ポチャハンジャンハルッカですよね？ KakaoPayで支払うか、またはOnnuriギフト券を受け取りたいですか？,"Pochahanjanhalkka, 여기, 카카오페이, 온누리상품권","ポチャハンジャンハルッカ|상호, KakaoPay|결제방식, Onnuriギフト券|상품권",결제_방식문의
0,고객,オウォル．チョバプですよね？  現金で支払い可能ですか、そしてここではカカオペイは利用できないのですか？,"Owol.Chobap, 현금, 여기, 카카오페이","オウォル．チョバプ|상호, 現金|결제방식, カカオペイ|결제방식",결제_방식문의
