,SPEAKER,SENTENCE,개체명,지식베이스,intent_cat
21,고객,"It's Hwaseohyugeso2, right? I made a reservation for around 5-6 people, is the seating okay?","Hwaseohyugeso2, 5~6명, 예약, 자리","Hwaseohyugeso2|상호, 5-6 people|인원",예약_문의
22,고객,"It's Ragyeongmiyongsil, right? I'm trying to make a reservation. Do you have any rooms available?","Ragyeongmiyongsil, 예약, 방","Ragyeongmiyongsil|상호, room|장소",예약_문의
23,고객,"It's Ryugabongayonggokjeom, right? Then can I make three or four in advance and wait for your call?","Ryugabongayonggokjeom, 세 개, 네 개, 미리, 전화","Ryugabongayonggokjeom|상호, three|수량, four|수량",예약_문의
24,고객,"It's IksanHillsKoteu, right? When should I make a reservation for about 5 people?","IksanHillsKoteu, 5명, 예약","IksanHillsKoteu|상호, 5 people|인원",예약_문의
25,고객,"It's NatuurSuseoyeoksajeom, right? Does this room exist? I want to make a reservation","NatuurSuseoyeoksajeom, 룸, 예약","NatuurSuseoyeoksajeom|상호, room|장소",예약_문의
26,고객,"It's Elkeuruheeosyap, right? Can I order about 10 servings?","Elkeuruheeosyap, 10인분, 주문","Elkeuruheeosyap|상호, 10 servings|수량",예약_문의
27,고객,"It's SeongsimdaerimSikdang, right? Do I have to make a reservation on the same day?","SeongsimdaerimSikdang, 당일, 예약","SeongsimdaerimSikdang|상호, same day|날짜",예약_문의
28,고객,"It's Gungnakgongyeondatkeom, right? I'd like a regular kimbap. When should I place an order for the picnic on the mountain?","Gungnakgongyeondatkeom, 일반 김밥, 산, 주문","Gungnakgongyeondatkeom|상호, regular kimbap|메뉴",예약_문의
29,고객,"It's Okong, right? I'm trying to make a reservation this Saturday","Okong, 이번 주, 토요일, 예약","Okong|상호, this|예약일, Saturday|예약일",예약_문의
30,고객,"It's cafeReunion, right? Is 5 people reserved today?","cafeReunion, 오늘, 5명, 예약","cafeReunion|상호, today|예약일",예약_문의
31,고객,"It's UmaiEpeuaenbi, right? Can I make a reservation for this Friday?","UmaiEpeuaenbi, 이번주 금요일, 예약, 가능","UmaiEpeuaenbi|상호, this week|예약일, Friday|예약일",예약_문의
32,고객,"It's MasinneunSaengmyeonGuksu, right? Then I will make a reservation at 2 PM tomorrow","MasinneunSaengmyeonGuksu, 내일, 오후 2시, 예약","MasinneunSaengmyeonGuksu|상호, tomorrow|예약일, 2 PM|예약시간",예약_문의
33,고객,"It's Suncheongdan, right? Is tomorrow available for reservation?","Suncheongdan, 내일, 예약","Suncheongdan|상호, tomorrow|예약일",예약_문의
34,고객,"It's BanjuyeonBeauty, right? Can I make a reservation today?","BanjuyeonBeauty, 오늘, 예약","BanjuyeonBeauty|상호, today|예약일",예약_문의
35,고객,"It's SomineGimbap, right? Is possible at 12 PM on February 14th?","SomineGimbap, 2월 14일, 오후 12:00","SomineGimbap|상호, February 14th|예약일, 12 PM|예약시간",예약_문의
36,고객,"It's Seonjaesinbal, right? Please prepare for the meal right at noon","Seonjaesinbal, 12시, 식사, 준비","Seonjaesinbal|상호, noon|예약시간",예약_문의
37,고객,"It's SsolteuaenButter, right? Can I make a dinner reservation for 6 o'clock tomorrow evening?","SsolteuaenButter, 내일, 저녁 여섯시, 예약","SsolteuaenButter|상호, tomorrow|예약일, 6 o'clock|예약시간",예약_문의
38,고객,"It's MuhanHanpan119, right? Can I reserve 16 seats today?","MuhanHanpan119, 16명, 예약","MuhanHanpan119|상호, 16 seats|인원",예약_문의
39,고객,"It's DeoLastDeurop, right? Can I make a reservation at 7 PM?","DeoLastDeurop, 오후 7시, 예약","DeoLastDeurop|상호, 7 PM|예약시간",예약_문의
40,고객,"It's FriedChamchalhaneunjip, right? I'm trying to make a reservation tomorrow evening","FriedChamchalhaneunjip, 내일, 저녁, 예약","FriedChamchalhaneunjip|상호, tomorrow|예약일, evening|예약시간",예약_문의
41,고객,"It's JangmigyeongCourseMetik, right? Can you do 7 pm?","JangmigyeongCourseMetik, 저녁 7시, 가능","JangmigyeongCourseMetik|상호, 7 pm|예약시간",예약_문의
42,고객,"It's Bunsiksanghoe, right? I want to make a reservation for 10 people","Bunsiksanghoe, 10명, 단체 예약","Bunsiksanghoe|상호, 10 people|인원",예약_문의
43,고객,"It's HwasinHansikBuffet, right? I'm planning to go to dinner time next Friday, is it okay?","HwasinHansikBuffet, 다음 주 금요일, 디너타임","HwasinHansikBuffet|상호, next Friday|예약일, dinner time|예약시간",예약_문의
44,고객,"It's Arangaju, right? I am the #name# that was reserved earlier","Arangaju, 예약, #이름#","Arangaju|상호, #이름#|예약자",예약_문의
45,고객,"It's Achimhaetsallyakguk, right? I want to make a reservation for a year-end gathering","Achimhaetsallyakguk, 연말, 모임, 예약","Achimhaetsallyakguk|상호, year-end|시즌",예약_문의
46,고객,"It's SinanBapsangHansikBuffet, right? Please make a reservation for next Friday","SinanBapsangHansikBuffet, 다음 주 금요일, 예약","SinanBapsangHansikBuffet|상호, next Friday|예약일",예약_문의
47,고객,"It's Gangttuk, right? Is it possible to make a reservation for dinner tonight?","Gangttuk, 오늘 저녁, 예약, 가능","Gangttuk|상호, tonight|예약일",예약_문의
48,고객,"It's Chohyanggol, right? Can I make a reservation at 7pm?","Chohyanggol, 저녁 7시, 예약, 가능","Chohyanggol|상호, 7pm|예약시간",예약_문의
49,고객,"It's Daebohoetjip, right? Can I reserve 10 rooms this Saturday?","Daebohoetjip, 이번 주 토요일, 10명, 룸, 예약, 가능","Daebohoetjip|상호, this Saturday|예약일, 10|인원, rooms|장소",예약_문의
50,고객,"It's JeongiganeAgu, right? Is it possible to make a reservation at 7 o'clock?","JeongiganeAgu, 7시, 예약","JeongiganeAgu|상호, 7 o'clock|예약시간",예약_문의
51,고객,"It's NamganewangJokbalBossam, right? Then please make a reservation for 4 people at 7 o'clock","NamganewangJokbalBossam, 7시, 4명, 예약","NamganewangJokbalBossam|상호, 7 o'clock|예약시간, 4 people|인원",예약_문의
52,고객,"It's Igiryeongheeosyap, right? Please make a reservation for 6 p.m. on the 17th","Igiryeongheeosyap, 17일, 저녁 6시, 예약","Igiryeongheeosyap|상호, 17th|예약일, 6 p.m.|예약시간",예약_문의
53,고객,"It's Yuhanhoesajeidiholdingseu, right? Is the party of 4 people and do we need to pre-order the menu?","Yuhanhoesajeidiholdingseu, 4명, 메뉴, 주문","Yuhanhoesajeidiholdingseu|상호, 4 people|인원",예약_문의
54,고객,"It's EohwaGopchang, right? Is this Sunday 12 o'clock available for 4 people?","EohwaGopchang, 이번 주 일요일, 12시, 4명, 예약, 가능","EohwaGopchang|상호, this Sunday|예약일, 12 o'clock|예약시간, 4 people|인원",예약_문의
55,고객,"It's Arimseoksoe, right? Is this Sunday at 12 PM available for 4 people?","Arimseoksoe, 이번 주 일요일, 12시, 4명, 예약, 가능","Arimseoksoe|상호, this Sunday|예약일, 12 PM|예약시간, 4 people|인원",예약_문의
56,고객,"It's JejuinhwaJjinbbang, right? Is this Sunday afternoon available for reservation?","JejuinhwaJjinbbang, 이번 주 일요일, 오후, 예약, 가능","JejuinhwaJjinbbang|상호, this Sunday|예약일, afternoon|예약시간",예약_문의
57,고객,"It's NaegachatdeondakGangjeong, right? I'll make a reservation for 1 p.m.","NaegachatdeondakGangjeong, 오후 1시, 예약","NaegachatdeondakGangjeong|상호, 1 p.m.|예약시간",예약_문의
58,고객,"It's JojoKITCHEN, right? Can I make a reservation on the 15th?","JojoKITCHEN, 15일, 예약","JojoKITCHEN|상호, 15th|예약일",예약_문의
59,고객,"It's cheogajipyangnyeomchicken, right? Is it possible to make a reservation at 7 o'clock tomorrow?","cheogajipyangnyeomchicken, 내일, 7시, 예약, 가능","cheogajipyangnyeomchicken|상호, tomorrow|예약일, 7 o'clock|예약시간",예약_문의
60,고객,"It's YoonChef, right? Can I make a reservation at 4 o'clock on May 27th?","YoonChef, 5월 27일, 4시, 예약","YoonChef|상호, May 27th|예약일, 4 o'clock|예약시간",예약_문의
61,고객,"It's Singsinghoejikgeoraesusan, right? I want to make a reservation on February 28th","Singsinghoejikgeoraesusan, 2월 28일, 예약","Singsinghoejikgeoraesusan|상호, February 28th|예약일",예약_문의
62,고객,"It's Seupatdaibeu, right? I made a reservation at 2 o'clock today","Seupatdaibeu, 오늘, 2시, 예약","Seupatdaibeu|상호, today|예약일, 2 o'clock|예약시간",예약_문의
63,고객,"It's Neilttyu, right? Please make a reservation for 3 people at 5 o'clock.","Neilttyu, 5시, 3명, 예약","Neilttyu|상호, 5 o'clock|시간, 3 people|인원",예약_문의
64,고객,"It's MakgeolliRangGuksu, right? Is there availability at 7 for a reservation?","MakgeolliRangGuksu, 7시, 예약, 자리","MakgeolliRangGuksu|상호, 7|예약시간",예약_문의
65,고객,"It's Choyeonsojubang, right? Are there seats available for 4 people right now?","Choyeonsojubang, 4명, 예약, 자리","Choyeonsojubang|상호, 4 people|인원",예약_문의
66,고객,"It's Pimeseutetik, right? Can I make a reservation for lunch today?","Pimeseutetik, 점심, 예약, 가능","Pimeseutetik|상호, lunch|시간",예약_문의
67,고객,"It's GachyasyapMillakjeom, right? I made a reservation at 5 o'clock today","GachyasyapMillakjeom, 오늘, 5시, 예약","GachyasyapMillakjeom|상호, today|날짜, 5 o'clock|예약시간",예약_문의
68,고객,"It's DaenieoldeoCafe, right? Can I make a reservation for the weekend next week?","DaenieoldeoCafe, 다음 주 주말, 예약, 가능","DaenieoldeoCafe|상호, next week weekend|예약일",예약_문의
69,고객,"It's ChocoPai, right? Then let's make it next Sunday","ChocoPai, 다음 주 일요일","ChocoPai|상호, next Sunday|예약일",예약_문의
70,고객,"It's Songdoaebunsik, right? Can the reservation date be changed on the same day?","Songdoaebunsik, 예약, 명수, 당일, 바꿔","Songdoaebunsik|상호, same day|예약일",예약_문의
71,고객,"It's SiseulliOutletGurijeom, right? Can I make a reservation for this Saturday?","SiseulliOutletGurijeom, 이번 주 토요일, 예약, 가능","SiseulliOutletGurijeom|상호, this Saturday|예약일",예약_문의
72,고객,"It's ART.C, right? Can I make a reservation for tomorrow?","ART.C, 내일, 예약, 가능","ART.C|상호, tomorrow|날짜",예약_문의
73,고객,"It's OnsutangCafe, right? Please make a reservation for lunch the day after tomorrow","OnsutangCafe, 모레, 점심, 예약","OnsutangCafe|상호, the day after tomorrow|날짜, lunch|시간",예약_문의
74,고객,"It's CafeGutteuAguTteu, right? Is it possible to make group reservations on the weekend?","CafeGutteuAguTteu, 주말, 단체, 예약, 가능","CafeGutteuAguTteu|상호, weekend|예약일, group|인원",예약_문의
75,고객,"It's OllemakGuksu, right? Can I make a reservation for Saturday evening?","OllemakGuksu, 토요일, 저녁, 예약","OllemakGuksu|상호, Saturday|예약일, evening|시간",예약_문의
76,고객,"It's Taehayangkkochi, right? Can I make a reservation for this Saturday?","Taehayangkkochi, 이번 주 토요일, 예약","Taehayangkkochi|상호, this Saturday|예약일",예약_문의
77,고객,"It's SincheonYangkkochi, right? Is Saturday 7pm okay?","SincheonYangkkochi, 토요일, 저녁 7시, 가능","SincheonYangkkochi|상호, Saturday|예약일, 7pm|예약시간",예약_문의
78,고객,"It's ChilbokdakGangjeong, right? Is Friday evening available for reservation?","ChilbokdakGangjeong, 금요일, 저녁시간, 예약, 가능","ChilbokdakGangjeong|상호, Friday|예약일, evening|예약시간",예약_문의
79,고객,"It's icecool, right? Is it possible to make a reservation now?","icecool, 지금, 예약, 가능","icecool|상호, now|시간",예약_문의
80,고객,"It's Wollaenejumak, right? Then we will make a reservation at 5 o'clock","Wollaenejumak, 저희, 5시, 예약","Wollaenejumak|상호, 5 o'clock|예약시간",예약_문의
81,고객,"It's HappyPaiGallery, right? I want to make a reservation for 3 people at 12 o'clock.","HappyPaiGallery, 12시, 3명, 예약","HappyPaiGallery|상호, 12 o'clock|예약시간, 3 people|인원",예약_문의
82,고객,"It's DaeBoxKin, right? Can 5 people make a reservation today?","DaeBoxKin, 오늘, 5명, 예약, 가능","DaeBoxKin|상호, today|예약일, 5 people|인원",예약_문의
83,고객,"It's CrabPartyGold, right? Can we make it at 5 o'clock?","CrabPartyGold, 5시, 가능","CrabPartyGold|상호, 5 o'clock|예약시간",예약_문의
84,고객,"It's LavenderMilk, right? Is it possible to make a reservation at 8 p.m. tomorrow?","LavenderMilk, 내일, 오후 8시, 예약, 가능","LavenderMilk|상호, tomorrow|예약일, 8 p.m.|예약시간",예약_문의
85,고객,"It's Gunggeumhaeyoⅱ, right? Will 7pm work for you tomorrow?","Gunggeumhaeyoⅱ, 내일, 저녁 7시","Gunggeumhaeyoⅱ|상호, tomorrow|예약일, 7pm|예약시간",예약_문의
86,고객,"It's Daboneil, right? Then please make a reservation for 8 people at that time","Daboneil, 8명, 예약","Daboneil|상호, 8 people|인원",예약_문의
87,고객,"It's DreamBeer, right? Please make a reservation for 10 people at 7 p.m. tomorrow evening","DreamBeer, 내일 저녁 7시 10명 예약","DreamBeer|상호, tomorrow|예약일, 7 p.m.|예약시간, 10 people|인원",예약_문의
88,고객,"It's Moduuisikdang, right? Can I make a reservation for 2 people for dinner tonight?","Moduuisikdang, 오늘 저녁 2명 예약","Moduuisikdang|상호, tonight|예약일, dinner|예약시간, 2 people|인원",예약_문의
89,고객,"It's EseualBeautyCenter, right? I want to make a reservation for next Wednesday the 26th","EseualBeautyCenter, 다음 주 26일 수요일 예약","EseualBeautyCenter|상호, next Wednesday the 26th|예약일, Wednesday|요일",예약_문의
90,고객,"It's OPieceDipoBoryeongjeom, right? Please make a reservation for 2 PM on the 26th","OPieceDipoBoryeongjeom, 26일 오후 2시 예약","OPieceDipoBoryeongjeom|상호, 26th|예약일, 2 PM|예약시간",예약_문의
91,고객,"It's MAKESOMECOFFEE, right? Do you have a room?","MAKESOMECOFFEE, 방","MAKESOMECOFFEE|상호, room|장소",예약_문의
92,고객,"It's PulmuwonFoodAenkeolcheoEipeurojenBioRojikseu, right? Is there a seat by the window?","PulmuwonFoodAenkeolcheoEipeurojenBioRojikseu, 창가 쪽, 자리","PulmuwonFoodAenkeolcheoEipeurojenBioRojikseu|상호, by the window|위치",예약_문의
93,고객,"It's Hyangwonbokjip, right? Can I sit on the inside seat?","Hyangwonbokjip, 안쪽, 자리","Hyangwonbokjip|상호, inside|위치",예약_문의
94,고객,"It's Deokeunsiktak, right? I came here alone and I want to sit here","Deokeunsiktak, 혼자, 여기","Deokeunsiktak|상호, alone|인원",예약_문의
95,고객,"It's BeatClub, right? We are three, do you have a quiet place?","BeatClub, 세 명, 어디, 자리","BeatClub|상호, three|인원",예약_문의
96,고객,"It's 1001AngyeongkontaekteuDanggamjeom, right? Is there no seat by the window?","1001AngyeongkontaekteuDanggamjeom, 창가 쪽, 자리","1001AngyeongkontaekteuDanggamjeom|상호, by the window|위치",예약_문의
97,고객,"It's GeotbasokchokAmnyeoksottongdak, right? Can about 10 people be divided into rooms with partitions?","GeotbasokchokAmnyeoksottongdak, 10명, 정도, 칸막이, 방","GeotbasokchokAmnyeoksottongdak|상호, 10 people|인원, rooms with partitions|장소",예약_문의
98,고객,"It's Kkotsongimiyongsil, right? May I sit by the window?","Kkotsongimiyongsil, 창가 자리","Kkotsongimiyongsil|상호, window seat|위치",예약_문의
99,고객,"It's DajalHeeosyap, right? Can I have a table by the window for dining?","DajalHeeosyap, 창가","DajalHeeosyap|상호, window|장소",예약_문의
100,고객,"It's HappyAulHouse, right? Please place me near the window seat as possible","HappyAulHouse, 창가석, 배치","HappyAulHouse|상호, window seat|자리",예약_문의
101,고객,"It's SeaneHansikBuffet, right? May I sit by the window?","SeaneHansikBuffet, 창가쪽, 자리, 부탁","SeaneHansikBuffet|상호, window|장소",예약_문의
102,고객,"It's Dadajegwajeom, right? If there is a room where you can eat quietly, please guide me to that room.","Dadajegwajeom, 식사, 방 자리","Dadajegwajeom|상호, room|장소",예약_문의
103,고객,"It's YeolJjukkumi, right? Then please guide me to the seat by the window","YeolJjukkumi, 창가 쪽, 안내","YeolJjukkumi|상호, by the window|장소",예약_문의
104,고객,"It's GuwoldongSilkiwaksing, right? I want to sit by the window","GuwoldongSilkiwaksing, 창가","GuwoldongSilkiwaksing|상호, window|장소",예약_문의
105,고객,"It's Eojebodaoneul, right? Please give me a quiet seat by the window","Eojebodaoneul, 창가 쪽, 조용한 자리","Eojebodaoneul|상호, by the window|장소",예약_문의
106,고객,"It's Gukwahoegwan, right? It's 7 people, please reserve a nice seat","Gukwahoegwan, 7명 전망 자리","Gukwahoegwan|상호, 7 people|인원",예약_문의
107,고객,"It's CAFE316, right? Is KakaoPay available?","CAFE316, 카카오페이","CAFE316|상호, KakaoPay|결제방식",결제_방식문의
108,고객,"It's cafe106, right? Is KakaoPay available?","cafe106, 카카오페이","cafe106|상호, KakaoPay|결제방식",결제_방식문의
109,고객,"It's OsikosiLotteBaekhwajeomgurijeom, right? Is KakaoPay available?","OsikosiLotteBaekhwajeomgurijeom, 카카오페이","OsikosiLotteBaekhwajeomgurijeom|상호, KakaoPay|결제방식",결제_방식문의
110,고객,"It's Icheudaejeonmijangwon, right? Is KakaoPay working?","Icheudaejeonmijangwon, 카카오결제","Icheudaejeonmijangwon|상호, KakaoPay|결제종류",결제_방식문의
111,고객,"It's ToribeochiHyundaiBaekhwajeomMokdongjeom, right? Is KakaoPay working?","ToribeochiHyundaiBaekhwajeomMokdongjeom, 카카오결제","ToribeochiHyundaiBaekhwajeomMokdongjeom|상호, KakaoPay|결제종류",결제_방식문의
112,고객,"It's Sangnamyutong, right? Is KakaoPay working?","Sangnamyutong, 카카오결제","Sangnamyutong|상호, KakaoPay|결제종류",결제_방식문의
113,고객,"It's Deokibapseu, right? Is Kakao Pay also available?","Deokibapseu, 카카오페이","Deokibapseu|상호, Kakao Pay|결제종류",결제_방식문의
114,고객,"It's HakseongGreenFood, right? Is Kakao Pay also available?","HakseongGreenFood, 카카오페이","HakseongGreenFood|상호, Kakao Pay|결제종류",결제_방식문의
115,고객,"It's CafeMuen, right? Is Kakao Pay also available?","CafeMuen, 카카오페이","CafeMuen|상호, Kakao Pay|결제종류",결제_방식문의
116,고객,"It's PoyulStewDio, right? Can I also pay with KakaoPay here?","PoyulStewDio, 카카오페이, 결제","PoyulStewDio|상호, KakaoPay|결제종류",결제_방식문의
117,고객,"It's NalmadaJanchi, right? Can I also pay with KakaoPay here?","NalmadaJanchi, 카카오페이, 결제","NalmadaJanchi|상호, KakaoPay|결제종류",결제_방식문의
118,고객,"It's Kkumkkuneundalgongbang, right? Can I also pay with KakaoPay here?","Kkumkkuneundalgongbang, 카카오페이, 결제","Kkumkkuneundalgongbang|상호, KakaoPay|결제종류",결제_방식문의
119,고객,"It's Ibaekjip, right? Can I use KakaoPay?","Ibaekjip, 카카오페이","Ibaekjip|상호, KakaoPay|결제종류",결제_방식문의
120,고객,"It's JejuolleFood, right? Can I use KakaoPay?","JejuolleFood, 카카오페이","JejuolleFood|상호, KakaoPay|결제종류",결제_방식문의
121,고객,"It's GimseongSujePpangso, right? Can I use KakaoPay?","GimseongSujePpangso, 카카오페이","GimseongSujePpangso|상호, KakaoPay|결제종류",결제_방식문의
122,고객,"It's AsarelSavezoneNowonjeom, right? Do you accept KakaoPay here?","AsarelSavezoneNowonjeom, 여기, 카카오페이","AsarelSavezoneNowonjeom|상호, KakaoPay|결제종류",결제_방식문의
123,고객,"It's CafeIlloio, right? Do you accept KakaoPay here?","CafeIlloio, 여기, 카카오페이","CafeIlloio|상호, KakaoPay|결제종류",결제_방식문의
124,고객,"It's BaesinaeIlhoSikdang, right? Do you accept KakaoPay here?","BaesinaeIlhoSikdang, 여기, 카카오페이","BaesinaeIlhoSikdang|상호, KakaoPay|결제종류",결제_방식문의
125,고객,"It's ChakanTteokbokki, right? You haven't paid with KakaoPay yet?","ChakanTteokbokki, 카카오페이, 결제","ChakanTteokbokki|상호, KakaoPay|결제종류",결제_방식문의
126,고객,"It's MomoCoffeeSyop, right? You haven't paid with KakaoPay yet?","MomoCoffeeSyop, 카카오페이, 결제","MomoCoffeeSyop|상호, KakaoPay|결제종류",결제_방식문의
127,고객,"It's WonUdon, right? You haven't paid with KakaoPay yet?","WonUdon, 카카오페이, 결제","WonUdon|상호, KakaoPay|결제종류",결제_방식문의
128,고객,"It's SamseongFoodAenbi, right? Do you accept KakaoPay?","SamseongFoodAenbi, 카카오페이","SamseongFoodAenbi|상호, KakaoPay|결제방식",결제_방식문의
129,고객,"It's Gyemyeongheeodijain, right? Do you accept KakaoPay?","Gyemyeongheeodijain, 카카오페이","Gyemyeongheeodijain|상호, KakaoPay|결제방식",결제_방식문의
130,고객,"It's Aworum, right? Do you accept KakaoPay?","Aworum, 카카오페이","Aworum|상호, KakaoPay|결제방식",결제_방식문의
131,고객,"It's GanghyeonjeongHeeosyap, right? Can't I use KakaoPay or Samsung Pay?","GanghyeonjeongHeeosyap, 카카오페이, 삼성페이","GanghyeonjeongHeeosyap|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
132,고객,"It's CHOIJAEYOUNGOrientalMedicalClinic, right? Can't I use KakaoPay or Samsung Pay?","CHOIJAEYOUNGOrientalMedicalClinic, 카카오페이, 삼성페이","CHOIJAEYOUNGOrientalMedicalClinic|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
133,고객,"It's AppleHeeoateu, right? Can't I use KakaoPay or Samsung Pay?","AppleHeeoateu, 카카오페이, 삼성페이","AppleHeeoateu|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
134,고객,"It's Sidaepocha, right? Can I pay with KakaoPay?","Sidaepocha, 카카오페이, 결제","Sidaepocha|상호, KakaoPay|결제방식",결제_방식문의
135,고객,"It's OKamsogalbisal, right? Can I pay with KakaoPay?","OKamsogalbisal, 카카오페이, 결제","OKamsogalbisal|상호, KakaoPay|결제방식",결제_방식문의
136,고객,"It's BAROITHOUSE, right? Can I pay with KakaoPay?","BAROITHOUSE, 카카오페이, 결제","BAROITHOUSE|상호, KakaoPay|결제방식",결제_방식문의
137,고객,"It's Rodieo, right? Can't we use KakaoPay?","Rodieo, 카카오페이","Rodieo|상호, KakaoPay|결제방식",결제_방식문의
138,고객,"It's SallongPeuripiMagongnyeokjeom, right? Can't we use KakaoPay?","SallongPeuripiMagongnyeokjeom, 카카오페이","SallongPeuripiMagongnyeokjeom|상호, KakaoPay|결제방식",결제_방식문의
139,고객,"It's Joseongeunpibusyap, right? Can't we use KakaoPay?","Joseongeunpibusyap, 카카오페이","Joseongeunpibusyap|상호, KakaoPay|결제방식",결제_방식문의
140,고객,"It's Kwojeu, right? Do you accept KakaoPay here?","Kwojeu, 여기, 카카오페이, 결제","Kwojeu|상호, KakaoPay|결제방식",결제_방식문의
141,고객,"It's Saelkeop, right? Do you accept KakaoPay here?","Saelkeop, 여기, 카카오페이, 결제","Saelkeop|상호, KakaoPay|결제방식",결제_방식문의
142,고객,"It's ToktokTanghuru, right? Do you accept KakaoPay here?","ToktokTanghuru, 여기, 카카오페이, 결제","ToktokTanghuru|상호, KakaoPay|결제방식",결제_방식문의
143,고객,"It's HeeogeuRuby, right? Would you like to pay with KakaoPay or receive Onnuri gift vouchers?","HeeogeuRuby, 여기, 카카오페이, 온누리상품권","HeeogeuRuby|상호, KakaoPay|결제방식, Onnuri gift vouchers|상품권",결제_방식문의
