,SPEAKER,SENTENCE,개체명,지식베이스,intent_cat
0,고객,是城心大厦饭店吗？我必须当天预订吗？,"SeongsimdaerimSikdang, 당일, 예약","城心大厦饭店|상호, 当天|날짜",예약_문의
0,고객,是Gungnakgongyeondatkeom吗？我想要一份普通的海苔包饭。我们什么时候应该预定在山上野餐呢？,"Gungnakgongyeondatkeom, 일반 김밥, 산, 주문","Gungnakgongyeondatkeom|상호, 普通的海苔包饭|메뉴",예약_문의
0,고객,是Okong吧？我试图在这个周六预订,"Okong, 이번 주, 토요일, 예약","Okong|상호, 这个|예약일, 周六|예약일",예약_문의
0,고객,是cafeReunion吧？今天预订了5个人吗？,"cafeReunion, 오늘, 5명, 예약","cafeReunion|상호, 今天|예약일",예약_문의
0,고객,是UmaiEpeuaenbi吗？我可以预订这个星期五吗？,"UmaiEpeuaenbi, 이번주 금요일, 예약, 가능","UmaiEpeuaenbi|상호, 这个星期|예약일, 星期五|예약일",예약_문의
0,고객,是麻辛粗面粉干吗？那我会在明天下午2点预订,"MasinneunSaengmyeonGuksu, 내일, 오후 2시, 예약","麻辛粗面粉|상호, 明天|예약일, 下午2点|예약시간",예약_문의
0,고객,是山藏蛋吗？明天可以预订吗？,"Suncheongdan, 내일, 예약","山藏蛋|상호, 明天|예약일",예약_문의
0,고객,是班娇婀美吗？我今天可以预订吗？,"BanjuyeonBeauty, 오늘, 예약","班娇婀美|상호, 今天|예약일",예약_문의
0,고객,是SomineGimbap吧？2月14日中午12点可以吗？,"SomineGimbap, 2월 14일, 오후 12:00","SomineGimbap|상호, 2月14日|예약일, 中午12点|예약시간",예약_문의
0,고객,"是先在神坝吗？请在中午准备吃饭,","Seonjaesinbal, 12시, 식사, 준비","先在神坝|상호, 中午|예약시간",예약_문의
0,고객,是SsolteuaenButter吧？明天晚上6点可以订晚餐吗？,"SsolteuaenButter, 내일, 저녁 여섯시, 예약","SsolteuaenButter|상호, 明天|예약일, 6 oclock|예약시간",예약_문의
0,고객,这是MuhanHanpan119吗？我今天可以预定16个座位吗？,"MuhanHanpan119, 16명, 예약","MuhanHanpan119|상호, 16个座位|인원",예약_문의
0,고객,是DeoLastDeurop吗？我可以预订晚上7点吗？,"DeoLastDeurop, 오후 7시, 예약","DeoLastDeurop|상호, 7点|예약시간",예약_문의
0,고객,是FriedChamchalhaneunjip吧？我打算明晚预订。,"FriedChamchalhaneunjip, 내일, 저녁, 예약","FriedChamchal韩国炸鸡店|상호, 明晚|예약일, 晚上|예약시간",예약_문의
0,고객,是张觅恭课上？你可以晚上7点吗？,"JangmigyeongCourseMetik, 저녁 7시, 가능","张觅恭课上|상호, 晚上7点|예약시간",예약_문의
0,고객,是Bunsiksanghoe吧？我想预订10人,"Bunsiksanghoe, 10명, 단체 예약","Bunsiksanghoe|상호, 10人|인원",예약_문의
0,고객,是和信韩食自助餐吧？我计划下周五晚餐时间去，可以吗？,"HwasinHansikBuffet, 다음 주 금요일, 디너타임","和信韩食自助餐|상호, 下周五|예약일, 晚餐时间|예약시간",예약_문의
0,고객,是阿兰嘉Ju吗？我是之前预订的#name#,"Arangaju, 예약, #이름#","阿兰嘉Ju|상호, #이름#|예약자",예약_문의
0,고객,是阿琛海萨拉鸭菊，对吗？我想要为年终集会预订,"Achimhaetsallyakguk, 연말, 모임, 예약","阿琛海萨拉鸭菊|상호, 年终|시즌",예약_문의
0,고객,是SinanBapsangHansikBuffet吧？请预约下周五。,"SinanBapsangHansikBuffet, 다음 주 금요일, 예약","SinanBapsangHansikBuffet|상호, 下周五|예약일",예약_문의
0,고객,是刚德特吗？今晚晚上吃饭可以预订吗？,"Gangttuk, 오늘 저녁, 예약, 가능","刚德特|상호, 今晚|예약일",예약_문의
0,고객,是初亮沟，对吧？我可以在晚上7点预订吗？,"Chohyanggol, 저녁 7시, 예약, 가능","初亮沟|상호, 晚上7点|예약시간",예약_문의
0,고객,是大波会宿吧？我可以预订10间房间这个星期六吗？,"Daebohoetjip, 이번 주 토요일, 10명, 룸, 예약, 가능","大波会宿|상호, 这个星期六|예약일, 10|인원, 间房间|장소",예약_문의
0,고객,是JeongiganeAgu吧？我可以预订七点吗？,"JeongiganeAgu, 7시, 예약","JeongiganeAgu|상호, 七点|예약시간",예약_문의
0,고객,是南加女王족발보쌈吗？那就请在7点为4人预约,"NamganewangJokbalBossam, 7시, 4명, 예약","南加女王족발보쌈|상호, 7点|예약시간, 4人|인원",예약_문의
0,고객,是伊基良熙欧斯亚普吗？请预订17日下午6点。,"Igiryeongheeosyap, 17일, 저녁 6시, 예약","伊基良熙欧斯亚普|상호, 17日|예약일, 下午6点|예약시간",예약_문의
0,고객,是遇寒会社层嘀举行，对吧？是4个人的聚会吗？我们需要提前预订菜单吗？,"Yuhanhoesajeidiholdingseu, 4명, 메뉴, 주문","遇寒会社层嘀|상호, 4个人|인원",예약_문의
0,고객,是噢花五昌吧？这个星期天12点有4个人的位置吗？,"EohwaGopchang, 이번 주 일요일, 12시, 4명, 예약, 가능","噢花五昌|상호, 这个星期天|예약일, 12 oclock|예약시간, 4个人|인원",예약_문의
0,고객,是Arimseoksoe吗？这个星期天中午12点对4人有空吗？,"Arimseoksoe, 이번 주 일요일, 12시, 4명, 예약, 가능","Arimseoksoe|상호, 这个星期天|예약일, 中午12点|예약시간, 4人|인원",예약_문의
0,고객,是济州人咸蛋饼吧？这个星期天下午有空预订吗？,"JejuinhwaJjinbbang, 이번 주 일요일, 오후, 예약, 가능","济州人咸蛋饼|상호, 这个星期天|예약일, 下午|예약시간",예약_문의
0,고객,是我的松柏对鸭肉、江正？我会在下午1点预订。,"NaegachatdeondakGangjeong, 오후 1시, 예약","我的松柏对鸭肉|상호, 下午1点|예약시간",예약_문의
0,고객,是JojoKITCHEN吧？我可以在15号预订吗？,"JojoKITCHEN, 15일, 예약","JojoKITCHEN|상호, 15号|예약일",예약_문의
0,고객,是炸鸡拍洋子鸡吧？明天7点可以预订吗？,"cheogajipyangnyeomchicken, 내일, 7시, 예약, 가능","炸鸡拍洋子鸡|상호, 明天|예약일, 7点|예약시간",예약_문의
0,고객,是YoonChef吗？我可以在五月二十七号的四点预约吗？,"YoonChef, 5월 27일, 4시, 예약","YoonChef|상호, 五月二十七号|예약일, 四点|예약시간",예약_문의
0,고객,是信成回集高丽敦，对吗？我想在2月28号预订。,"Singsinghoejikgeoraesusan, 2월 28일, 예약","信成回集高丽敦|상호, 2月28号|예약일",예약_문의
0,고객,是水派代宝吗？我今天2点预订的。,"Seupatdaibeu, 오늘, 2시, 예약","水派代宝|상호, 今天|예약일, 2点|예약시간",예약_문의
0,고객,是尼尔体吗？请预订三人在五点。,"Neilttyu, 5시, 3명, 예약","尼尔体|상호, 五点|시간, 三人|인원",예약_문의
0,고객,是麦酒凉面吧？我可以预订7点的位置吗？,"MakgeolliRangGuksu, 7시, 예약, 자리","麦酒凉面|상호, 7|예약시간",예약_문의
0,고객,是菜园所主帮吧？现在有4个座位吗？,"Choyeonsojubang, 4명, 예약, 자리","菜园所主帮|상호, 4个人|인원",예약_문의
0,고객,是Pimeseutetik吗？我可以预订今天的午餐吗？,"Pimeseutetik, 점심, 예약, 가능","Pimeseutetik|상호, 午餐|시간",예약_문의
0,고객,"是GachyasyapMillakjeom吗？我今天五点钟预订了,","GachyasyapMillakjeom, 오늘, 5시, 예약","GachyasyapMillakjeom|상호, 今天|날짜, 五点钟|예약시간",예약_문의
0,고객,是DaenieoldeoCafe吗？我可以预订下周周末吗？,"DaenieoldeoCafe, 다음 주 주말, 예약, 가능","DaenieoldeoCafe|상호, 下周周末|예약일",예약_문의
0,고객,是ChocoPai吗？那我们下周日做吧,"ChocoPai, 다음 주 일요일","ChocoPai|상호, 下周日|예약일",예약_문의
0,고객,是松柏汤饭吧？能够在同一天改变预订日期吗？,"Songdoaebunsik, 예약, 명수, 당일, 바꿔","松柏汤饭|상호, 同一天|예약일",예약_문의
0,고객,是SiseulliOutletGurijeom吗？我可以预订这个星期六吗？,"SiseulliOutletGurijeom, 이번 주 토요일, 예약, 가능","SiseulliOutletGurijeom|상호, 这个星期六|예약일",예약_문의
0,고객,是ART.C吗？我可以预订明天吗？,"ART.C, 내일, 예약, 가능","ART.C|상호, 明天|날짜",예약_문의
0,고객,是松柏汤饭吧？请在后天午餐时间预订,"OnsutangCafe, 모레, 점심, 예약","松柏汤饭|상호, 后天|날짜, 午餐|시간",예약_문의
0,고객,是CafeGutteuAguTteu吗？周末可以进行团体预订吗？,"CafeGutteuAguTteu, 주말, 단체, 예약, 가능","CafeGutteuAguTteu|상호, 周末|예약일, 团体|인원",예약_문의
0,고객,是OllemakGuksu吧？我可以预订星期六晚上吗？,"OllemakGuksu, 토요일, 저녁, 예약","OllemakGuksu|상호, 星期六|예약일, 晚上|시간",예약_문의
0,고객,是太阳花科吗？我可以预订这个星期六吗？,"Taehayangkkochi, 이번 주 토요일, 예약","太阳花科|상호, 这个星期六|예약일",예약_문의
0,고객,是新川洋花吃吧？周六晚上7点可以吗？,"SincheonYangkkochi, 토요일, 저녁 7시, 가능","新川洋花吃|상호, 周六|예약일, 晚上7点|예약시간",예약_문의
0,고객,是吃鸡江浆，对吗？星期五晚上可以预订吗？,"ChilbokdakGangjeong, 금요일, 저녁시간, 예약, 가능","吃鸡江浆|상호, 星期五|예약일, 晚上|예약시간",예약_문의
0,고객,这是冰凉的，对吧？现在可以预订吗？,"icecool, 지금, 예약, 가능","冰凉|상호, 现在|시간",예약_문의
0,고객,是Wollaenejumak吧？然后我们会在5点钟预订,"Wollaenejumak, 저희, 5시, 예약","Wollaenejumak|상호, 5点钟|예약시간",예약_문의
0,고객,是HappyPaiGallery吗？我想要在12点预订3人。,"HappyPaiGallery, 12시, 3명, 예약","HappyPaiGallery|상호, 12点|예약시간, 3人|인원",예약_문의
0,고객,是DaeBoxKin吧？今天可以预约5人吗？,"DaeBoxKin, 오늘, 5명, 예약, 가능","DaeBoxKin|상호, 今天|예약일, 5人|인원",예약_문의
0,고객,是螃蟹派对金，对吧？我们可以在5点钟吗？,"CrabPartyGold, 5시, 가능","螃蟹派对金|상호, 5点钟|예약시간",예약_문의
0,고객,是LavenderMilk吗？明天晚上8点可以预订吗？,"LavenderMilk, 내일, 오후 8시, 예약, 가능","LavenderMilk|상호, 明天|예약일, 晚上8点|예약시간",예약_문의
0,고객,是工作日吧？明天下午7点可以吗？,"Gunggeumhaeyoⅱ, 내일, 저녁 7시","工作日|상호, 明天|예약일, 下午7点|예약시간",예약_문의
0,고객,是Daboneil吧？那请在那个时间为8人预订,"Daboneil, 8명, 예약","Daboneil|상호, 8人|인원",예약_문의
0,고객,是DreamBeer吗？请在明晚7点为10人预订。,"DreamBeer, 내일 저녁 7시 10명 예약","DreamBeer|상호, 明晚|예약일, 7点|예약시간, 10人|인원",예약_문의
0,고객,是摩迪餐厅吗？我可以预订今晚的晚餐两个人吗？,"Moduuisikdang, 오늘 저녁 2명 예약","摩迪餐厅|상호, 今晚|예약일, 晚餐|예약시간, 两个人|인원",예약_문의
0,고객,是EseualBeautyCenter吧？我想要预订下周三26号。,"EseualBeautyCenter, 다음 주 26일 수요일 예약","EseualBeautyCenter|상호, 下周三26号|예약일, Wednesday|요일",예약_문의
0,고객,是OPieceDipoBoryeongjeom吧？请预订26日下午2点,"OPieceDipoBoryeongjeom, 26일 오후 2시 예약","OPieceDipoBoryeongjeom|상호, 26日|예약일, 下午2点|예약시간",예약_문의
0,고객,是MAKESOMECOFFEE吧？你们有房间吗？,"MAKESOMECOFFEE, 방","MAKESOMECOFFEE|상호, 房间|장소",예약_문의
0,고객,是步绿门食品安客尔樵印韦尔集圣生物洛吉克塞，对吧？有没有靠窗户的座位？,"PulmuwonFoodAenkeolcheoEipeurojenBioRojikseu, 창가 쪽, 자리","步绿门食品安客尔樵印韦尔集圣生物洛吉克塞|상호, 靠窗户|위치",예약_문의
0,고객,是香园福集吧？我可以坐在里座位吗？,"Hyangwonbokjip, 안쪽, 자리","香园福集|상호, 里|위치",예약_문의
0,고객,是多根锡塔克吧？我一个人来这里，我想坐在这里,"Deokeunsiktak, 혼자, 여기","多根锡塔克|상호, 一个人|인원",예약_문의
0,고객,是BeatClub吧？我们是三个人，你有一个安静的地方吗？,"BeatClub, 세 명, 어디, 자리","BeatClub|상호, 三个人|인원",예약_문의
0,고객,是1001AngyeongkontaekteuDanggamjeom吗？窗户旁边没有座位吗？,"1001AngyeongkontaekteuDanggamjeom, 창가 쪽, 자리","1001AngyeongkontaekteuDanggamjeom|상호, 窗户旁边|위치",예약_문의
0,고객,是骨头小隔间炒饭吧？可以把大约10人分成带隔断的房间吗？,"GeotbasokchokAmnyeoksottongdak, 10명, 정도, 칸막이, 방","骨头小隔间炒饭|상호, 10人|인원, rooms with partitions|장소",예약_문의
0,고객,是Kkotsongimiyongsil吧？我可以坐在窗边吗？,"Kkotsongimiyongsil, 창가 자리","Kkotsongimiyongsil|상호, 窗边|위치",예약_문의
0,고객,是天地合养羊？我可以要一个靠窗的桌子用餐吗？,"DajalHeeosyap, 창가","天地合养羊|상호, 窗|장소",예약_문의
0,고객,是HappyAulHouse吧？请尽可能把我安排在靠窗位置,"HappyAulHouse, 창가석, 배치","HappyAulHouse|상호, 窗位置|자리",예약_문의
0,고객,是西恩韩食自助餐吗？我可以坐在窗边吗？,"SeaneHansikBuffet, 창가쪽, 자리, 부탁","西恩韩食自助餐|상호, 窗边|장소",예약_문의
0,고객,是大大洁果饭吧？如果有一个可以安静吃饭的房间，请带我去那个房间。,"Dadajegwajeom, 식사, 방 자리","大大洁果饭|상호, 房间|장소",예약_문의
0,고객,是烤纸包章鱼，对吧？那请带我到靠窗的座位。,"YeolJjukkumi, 창가 쪽, 안내","烤纸包章鱼|상호, 靠窗|장소",예약_문의
0,고객,是丘沃尔东西尔基瓦克興，对吧？我想坐在窗边,"GuwoldongSilkiwaksing, 창가","丘沃尔东西尔基瓦克興|상호, 窗边|장소",예약_문의
0,고객,是饿截步大人，对吧？请给我一个靠窗的安静座位,"Eojebodaoneul, 창가 쪽, 조용한 자리","饿截步大人|상호, 靠窗|장소",예약_문의
0,고객,是菊花会馆吗？预定七人，请预订一个好位置,"Gukwahoegwan, 7명 전망 자리","菊花会馆|상호, 七人|인원",예약_문의
0,고객,是CAFE316吗？ KakaoPay可用吗？,"CAFE316, 카카오페이","CAFE316|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是cafe106吗？KakaoPay可以用吗？,"cafe106, 카카오페이","cafe106|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是欧喜可西连锁百货店吧？可以用KakaoPay吗？,"OsikosiLotteBaekhwajeomgurijeom, 카카오페이","欧喜可西连锁百货店|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是易出大战码池场网，对吧？KakaoPay在运作吗？,"Icheudaejeonmijangwon, 카카오결제","易出大战码池场网|상호, KakaoPay|결제종류",결제_방식문의
0,고객,"是你贝奇现代百货店목동점,对吗? KakaoPay 在运作吗?","ToribeochiHyundaiBaekhwajeomMokdongjeom, 카카오결제","你贝奇现代百货店목동점|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是桑나뮈통吗？KakaoPay正常运作吗？,"Sangnamyutong, 카카오결제","桑나뮈통|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是德基巴普萨吧？Kakao Pay也可以使用吗？,"Deokibapseu, 카카오페이","德基巴普萨|상호, Kakao Pay|결제종류",결제_방식문의
0,고객,是黑松绿食吗？Kakao Pay也可以用吗？,"HakseongGreenFood, 카카오페이","黑松绿食|상호, Kakao Pay|결제종류",결제_방식문의
0,고객,是CafeMuen吗？Kakao Pay也支持吗？,"CafeMuen, 카카오페이","CafeMuen|상호, Kakao Pay|결제종류",결제_방식문의
0,고객,是PoyulStewDio吧？我也可以用KakaoPay支付吗？,"PoyulStewDio, 카카오페이, 결제","PoyulStewDio|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是鱼水濱大佬，对吧？我也可以用KakaoPay支付吗？,"NalmadaJanchi, 카카오페이, 결제","鱼水濱大佬|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是꿈꾸는달공방吧？我这里可以用KakaoPay支付吗？,"Kkumkkuneundalgongbang, 카카오페이, 결제","꿈꾸는달공방|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是一百集吧？我可以用KakaoPay吗？,"Ibaekjip, 카카오페이","一百集|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是济州路食品吧？我可以用KakaoPay吗？,"JejuolleFood, 카카오페이","济州路食品|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是金星苏洁胖搜吗？我可以使用KakaoPay吗？,"GimseongSujePpangso, 카카오페이","金星苏洁胖搜|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是AsarelSavezoneNowonjeom吗？这里接受KakaoPay吗？,"AsarelSavezoneNowonjeom, 여기, 카카오페이","AsarelSavezoneNowonjeom|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是CafeIlloio吗？这里可以用KakaoPay吗？,"CafeIlloio, 여기, 카카오페이","CafeIlloio|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是白自然一号食堂吗？这里能用KakaoPay支付吗？,"BaesinaeIlhoSikdang, 여기, 카카오페이","白自然一号食堂|상호, KakaoPay|결제종류",결제_방식문의
0,고객,"这是炸鸡饼，对吧？你还没用KakaoPay付款吗？,","ChakanTteokbokki, 카카오페이, 결제","炸鸡饼|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是MomoCoffeeSyop吧？你还没有用KakaoPay付款吗？,"MomoCoffeeSyop, 카카오페이, 결제","MomoCoffeeSyop|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是完美乌冬面吧？你还没有用KakaoPay支付吗？,"WonUdon, 카카오페이, 결제","完美乌冬面|상호, KakaoPay|결제종류",결제_방식문의
0,고객,是三星美食爱你，对吗？你们接受KakaoPay吗？,"SamseongFoodAenbi, 카카오페이","三星美食爱你|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是谷米希欧设计吧？您接受KakaoPay吗？,"Gyemyeongheeodijain, 카카오페이","谷米希欧设计|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是Aworum吗？你接受KakaoPay吗？,"Aworum, 카카오페이","Aworum|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是康贤精黑商吗？我可以用KakaoPay或Samsung Pay吗？,"GanghyeonjeongHeeosyap, 카카오페이, 삼성페이","康贤精黑商|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
0,고객,是CHOIJAEYOUNGOrientalMedicalClinic吧？我可以用KakaoPay或Samsung Pay吗？,"CHOIJAEYOUNGOrientalMedicalClinic, 카카오페이, 삼성페이","CHOIJAEYOUNGOrientalMedicalClinic|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
0,고객,是AppleHeeoateu吗？我能用KakaoPay或Samsung Pay吗？,"AppleHeeoateu, 카카오페이, 삼성페이","AppleHeeoateu|상호, KakaoPay|결제방식, Samsung Pay|결제방식",결제_방식문의
0,고객,是Sidaepocha吗？我可以用KakaoPay支付吗？,"Sidaepocha, 카카오페이, 결제","Sidaepocha|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是 OKamsogalbisal 吧？我可以用KakaoPay支付吗？,"OKamsogalbisal, 카카오페이, 결제","OK암소갈비살|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是BAROITHOUSE吧？我可以用KakaoPay支付吗？,"BAROITHOUSE, 카카오페이, 결제","BAROITHOUSE|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是Rodieo吧？我们不能用KakaoPay吗？,"Rodieo, 카카오페이","Rodieo|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是SallongPeuripiMagongnyeokjeom吧？我们不能用KakaoPay吗？,"SallongPeuripiMagongnyeokjeom, 카카오페이","SallongPeuripiMagongnyeokjeom|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是Joseongeunpibusyap吗？我们可以用KakaoPay吗？,"Joseongeunpibusyap, 카카오페이","Joseongeunpibusyap|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是果汁吗？这里接受微信支付吗？,"Kwojeu, 여기, 카카오페이, 결제","果汁|상호, 微信支付|결제방식",결제_방식문의
0,고객,是Saelkeop吗？这里接受KakaoPay吗？,"Saelkeop, 여기, 카카오페이, 결제","Saelkeop|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是ToktokTanghuru吗？这里可以使用KakaoPay吗？,"ToktokTanghuru, 여기, 카카오페이, 결제","ToktokTanghuru|상호, KakaoPay|결제방식",결제_방식문의
0,고객,是HeeogeuRuby吧？您要用KakaoPay付款还是领取Onnuri礼品券？,"HeeogeuRuby, 여기, 카카오페이, 온누리상품권","HeeogeuRuby|상호, KakaoPay|결제방식, Onnuri礼品券|상품권",결제_방식문의
0,고객,是Jieseu25Suseonghwanggeumjeom吗？您想用KakaoPay支付还是领取Onnuri礼品券？,"Jieseu25Suseonghwanggeumjeom, 여기, 카카오페이, 온누리상품권","Jieseu25Suseonghwanggeumjeom|상호, KakaoPay|결제방식, Onnuri礼品券|상품권",결제_방식문의
0,고객,是波查汉江哈卡吗？您想使用KakaoPay付款还是领取Onnuri礼品券？,"Pochahanjanhalkka, 여기, 카카오페이, 온누리상품권","波查汉江哈卡|상호, KakaoPay|결제방식, Onnuri礼品券|상품권",결제_방식문의
0,고객,这是Owol.Chobap吧？那现金可以吗，这里不能用KakaoPay吗？,"Owol.Chobap, 현금, 여기, 카카오페이","Owol.Chobap|상호, 现金|결제방식, KakaoPay|결제방식",결제_방식문의
0,고객,是辉格文古代古迹街站吧？这里只收现金，不支持KakaoPay？,"Hwigemungodaegujijeom, 현금, 여기, 카카오페이","辉格文古代古迹街站|상호, 现金|결제방식, KakaoPay|결제방식",결제_방식문의
0,고객,这是伊势丢儿童乐天名品奉仕中心吗？所以你们只接受现金，不支持KakaoPay吗？,"EseumaketKidsLottePremiumOutletPajujeom, 현금, 여기, 카카오페이","伊势丢儿童乐天名品奉仕中心|상호, 现金|결제방식, KakaoPay|결제방식",결제_방식문의
0,고객,是daincoffee&maekju吗？我可以用Kakao Pay支付吗？,"daincoffee&maekju, 카카오페이, 결제","daincoffee&maekju|상호, Kakao Pay|결제방식",결제_방식문의
0,고객,是炸酱树国? 我可以用Kakao Pay支付吗？,"Jajangnamu, 카카오페이, 결제","炸酱树国|상호, Kakao Pay|결제방식",결제_방식문의
